;Name;m/z_EExact;m/z_exact;CV_ref;CV;u_CV;FWHM;u_FWHM;Area;u_Area;FitDim;dilu;tag;ratio;dratio
1;Ala-AA;90.054955;90.3125;-7.6;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
2;Ser-AA;106.04987;106.25;-6.6;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
3;Pro-AA;116.070605;116.1875;-5.3;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
4;Val-AA;118.086255;118.25;-3.7;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
5;Thr-AA;120.06552;120.1875;-4.8;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
6;Asn-AA;133.060967;133.1875;-4.1;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
7;Gln-AA;147.076419;147.1875;-2.7;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
8;Lys-AA;147.1128;147.25;-0.3;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
9;Met-AA;150.058326;150.1875;-2.3;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
10;His-AA;156.076753;156.1875;-1.5;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
11;Phe-AA;166.086265;166.1875;-1.4;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
12;Arg-AA;175.1189;175.25;0.9;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
13;Cit-AA;176.1;176.1875;-0.7;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
14;Tyr-AA;182.08117;182.125;-1.4;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
15;Trp-AA;205.097154;205.1875;0.2;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
16;Orn-AA;C5H12N2O2H;133.1875;-1.4;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;<ratio>;<dratio>
17;Ala-13C2;92.054;92.25;-7.4;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
18;Ser-d3;109.049;109.1875;-6.4;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
19;Pro-d7;123.0706;123.25;-4.8;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
20;Val-d8;126.09;126.25;-3.5;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
21;Thr-13C1-d2;123.07;123.25;-4.8;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
22;Asn-15N2;135.06;135.1875;-4.2;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
23;Gln-d5;152.08;152.1875;-2.6;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
24;Lys-d4;151.11;151.25;-0.2;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
25;Met-d3;153.06;153.1875;-2.1;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
26;His-13C1;157.08;157.1875;-1.5;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
27;Phe-d5;171.09;171.25;-1.1;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
28;Arg-15N2;177.12;177.25;1;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
29;Cit-1C13;177.1;177.1875;-0.7;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
30;Tyr-13C9-15N1;192.07;192.1875;-1.3;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
31;Trp-d5;210.129;210.1875;0.3;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
32;Orn-d6;C5H7N2O2(D)6;139.1875;-1.3;<CV>;<u_CV>;<FWHM>;<u_FWHM>;<Area>;<u_Area>;NA;NA;All;NA;NA
1;Ala-AA;90.054955;90.3125;-7.6;-7.167;0.018;0.84;0.047;24.6;2.2;2;0;20190710_C0_AS_DV1800_1;0.528;0.056
2;Ser-AA;106.04987;106.25;-6.6;-6.364;0.023;0.821;0.058;9.44;1.1;2;0;20190710_C0_AS_DV1800_1;0.312;0.043
3;Pro-AA;116.070605;116.1875;-5.3;-5.057;0.0039;0.599;0.0092;360;9.6;2;0;20190710_C0_AS_DV1800_1;0.261;0.008
4;Val-AA;118.086255;118.25;-3.7;-3.621;0.0055;0.56;0.013;383;15;2;0;20190710_C0_AS_DV1800_1;0.375;0.018
5;Thr-AA;120.06552;120.1875;-4.8;-4.704;0.0052;0.627;0.012;65.1;2.2;2;0;20190710_C0_AS_DV1800_1;0.0472;0.0017
6;Asn-AA;133.060967;133.1875;-4.1;-3.541;0.028;0.84;0.074;41.7;5.8;2;0;20190710_C0_AS_DV1800_1;0.477;0.075
7;Gln-AA;147.076419;147.1875;-2.7;-2.632;0.0047;0.631;0.011;326;9.9;2;0;20190710_C0_AS_DV1800_1;0.516;0.022
8;Lys-AA;147.1128;147.25;-0.3;-0.3107;0.0047;0.802;0.012;268;6.6;2;0;20190710_C0_AS_DV1800_1;0.453;0.014
9;Met-AA;150.058326;150.1875;-2.3;-2.131;0.014;0.84;0.037;61.9;4.3;2;0;20190710_C0_AS_DV1800_1;0.16;0.013
10;His-AA;156.076753;156.1875;-1.5;-1.458;0.0048;0.772;0.012;265;6.8;2;0;20190710_C0_AS_DV1800_1;0.237;0.0086
11;Phe-AA;166.086265;166.1875;-1.4;-1.294;0.0039;0.84;0.0099;247;4.7;2;0;20190710_C0_AS_DV1800_1;0.461;0.014
12;Arg-AA;175.1189;175.25;0.9;0.9664;0.0056;0.733;0.014;206;6.5;2;0;20190710_C0_AS_DV1800_1;0.352;0.013
13;Cit-AA;176.1;176.1875;-0.7;-0.641;0.011;0.756;0.029;36;2.3;2;0;20190710_C0_AS_DV1800_1;0.536;0.043
14;Tyr-AA;182.08117;182.125;-1.4;-1.269;0.0081;0.786;0.021;47.3;2;2;0;20190710_C0_AS_DV1800_1;0.438;0.024
15;Trp-AA;205.097154;205.1875;0.2;0.2921;0.012;0.687;0.029;41.2;3;2;0;20190710_C0_AS_DV1800_1;0.067;0.005
16;Orn-AA;C5H12N2O2H;133.1875;-1.4;-1.204;0.016;0.84;0.041;161;13;2;0;20190710_C0_AS_DV1800_1;0.189;0.016
17;Ala-13C2;92.054;92.25;-7.4;-7.072;0.0088;0.65;0.021;46.6;2.6;2;0;20190710_C0_AS_DV1800_1;NA;NA
18;Ser-d3;109.049;109.1875;-6.4;-6.178;0.0098;0.56;0.023;30.3;2.2;2;0;20190710_C0_AS_DV1800_1;NA;NA
19;Pro-d7;123.0706;123.25;-4.8;-4.585;0.0023;0.632;0.0055;1380;21;2;0;20190710_C0_AS_DV1800_1;NA;NA
20;Val-d8;126.09;126.25;-3.5;-3.373;0.0044;0.698;0.011;1020;26;2;0;20190710_C0_AS_DV1800_1;NA;NA
21;Thr-13C1-d2;123.07;123.25;-4.8;-4.585;0.0023;0.632;0.0055;1380;21;2;0;20190710_C0_AS_DV1800_1;NA;NA
22;Asn-15N2;135.06;135.1875;-4.2;-3.916;0.015;0.84;0.038;87.4;6.5;2;0;20190710_C0_AS_DV1800_1;NA;NA
23;Gln-d5;152.08;152.1875;-2.6;-2.527;0.0047;0.624;0.011;632;19;2;0;20190710_C0_AS_DV1800_1;NA;NA
24;Lys-d4;151.11;151.25;-0.2;-0.1392;0.0031;0.762;0.0077;592;10;2;0;20190710_C0_AS_DV1800_1;NA;NA
25;Met-d3;153.06;153.1875;-2.1;-1.944;0.0076;0.84;0.02;388;15;2;0;20190710_C0_AS_DV1800_1;NA;NA
26;His-13C1;157.08;157.1875;-1.5;-1.455;0.0047;0.737;0.011;1120;29;2;0;20190710_C0_AS_DV1800_1;NA;NA
27;Phe-d5;171.09;171.25;-1.1;-1.118;0.0045;0.824;0.012;536;12;2;0;20190710_C0_AS_DV1800_1;NA;NA
28;Arg-15N2;177.12;177.25;1;1.005;0.0034;0.722;0.0084;586;11;2;0;20190710_C0_AS_DV1800_1;NA;NA
29;Cit-1C13;177.1;177.1875;-0.7;-0.6493;0.0096;0.84;0.025;67.2;3.2;2;0;20190710_C0_AS_DV1800_1;NA;NA
30;Tyr-13C9-15N1;192.07;192.1875;-1.3;-1.26;0.0062;0.763;0.016;108;3.6;2;0;20190710_C0_AS_DV1800_1;NA;NA
31;Trp-d5;210.129;210.1875;0.3;0.3183;0.0034;0.84;0.0086;615;10;2;0;20190710_C0_AS_DV1800_1;NA;NA
32;Orn-d6;C5H7N2O2(D)6;139.1875;-1.3;-1.04;0.0034;0.84;0.0087;851;14;2;0;20190710_C0_AS_DV1800_1;NA;NA
33;Ala-AA;90.054955;90.25;-7.6;-7.437;0.008;0.679;0.02;43.7;2.1;2;0.001;20190710_C1000_AS_DV1800_1;0.538;0.036
34;Ser-AA;106.04987;106.1875;-6.6;-6.494;0.013;0.652;0.031;19.3;1.6;2;0.001;20190710_C1000_AS_DV1800_1;0.351;0.039
35;Pro-AA;116.070605;116.25;-5.3;-5.209;0.0021;0.663;0.0051;778;10;2;0.001;20190710_C1000_AS_DV1800_1;0.391;0.0063
36;Val-AA;118.086255;118.25;-3.7;-3.662;0.0022;0.645;0.0051;677;9.3;2;0.001;20190710_C1000_AS_DV1800_1;0.415;0.0078
37;Thr-AA;120.06552;120.1875;-4.8;-4.756;0.0053;0.697;0.013;122;3.8;2;0.001;20190710_C1000_AS_DV1800_1;0.0613;0.002
38;Asn-AA;133.060967;133.25;-4.1;-4.11;0.0064;0.7;0.016;66;2.5;2;0.001;20190710_C1000_AS_DV1800_1;0.516;0.048
39;Gln-AA;147.076419;147.1875;-2.7;-2.69;0.0039;0.731;0.0096;566;13;2;0.001;20190710_C1000_AS_DV1800_1;0.645;0.017
40;Lys-AA;147.1128;147.25;-0.3;-0.2871;0.0045;0.75;0.011;341;8.4;2;0.001;20190710_C1000_AS_DV1800_1;0.531;0.015
41;Met-AA;150.058326;150.125;-2.3;-2.234;0.0041;0.74;0.01;226;5.1;2;0.001;20190710_C1000_AS_DV1800_1;0.321;0.01
42;His-AA;156.076753;156.1875;-1.5;-1.439;0.0035;0.775;0.0086;404;7.5;2;0.001;20190710_C1000_AS_DV1800_1;0.321;0.0075
43;Phe-AA;166.086265;166.1875;-1.4;-1.273;0.0057;0.84;0.015;427;12;2;0.001;20190710_C1000_AS_DV1800_1;0.683;0.022
44;Arg-AA;175.1189;175.1875;0.9;0.9505;0.0044;0.82;0.011;304;6.7;2;0.001;20190710_C1000_AS_DV1800_1;0.49;0.013
45;Cit-AA;176.1;176.1875;-0.7;-0.6218;0.0071;0.809;0.018;116;4.2;2;0.001;20190710_C1000_AS_DV1800_1;1.85;0.12
46;Tyr-AA;182.08117;182.1875;-1.4;-1.291;0.0082;0.84;0.021;71.4;2.9;2;0.001;20190710_C1000_AS_DV1800_1;0.6;0.036
47;Trp-AA;205.097154;205.1875;0.2;0.2053;0.011;0.84;0.027;83.6;4.4;2;0.001;20190710_C1000_AS_DV1800_1;0.127;0.0072
48;Orn-AA;C5H12N2O2H;133.25;-1.4;-1.273;0.0074;0.84;0.019;260;9.5;2;0.001;20190710_C1000_AS_DV1800_1;0.296;0.012
49;Ala-13C2;92.054;92.3125;-7.4;-7.277;0.0076;0.663;0.018;81.3;3.8;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
50;Ser-d3;109.049;109.25;-6.4;-6.392;0.013;0.723;0.032;55;4;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
51;Pro-d7;123.0706;123.25;-4.8;-4.674;0.0016;0.692;0.0038;1990;19;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
52;Val-d8;126.09;126.25;-3.5;-3.401;0.0021;0.685;0.0051;1630;21;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
53;Thr-13C1-d2;123.07;123.25;-4.8;-4.674;0.0016;0.692;0.0038;1990;19;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
54;Asn-15N2;135.06;135.1875;-4.2;-3.972;0.017;0.84;0.044;128;11;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
55;Gln-d5;152.08;152.1875;-2.6;-2.525;0.002;0.674;0.0048;877;11;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
56;Lys-d4;151.11;151.25;-0.2;-0.1513;0.0024;0.773;0.0061;642;8.4;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
57;Met-d3;153.06;153.1875;-2.1;-2.073;0.004;0.764;0.0099;703;15;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
58;His-13C1;157.08;157.1875;-1.5;-1.438;0.0025;0.715;0.006;1260;18;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
59;Phe-d5;171.09;171.1875;-1.1;-1.15;0.003;0.758;0.0075;625;10;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
60;Arg-15N2;177.12;177.1875;1;1.016;0.0029;0.777;0.0073;621;9.7;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
61;Cit-1C13;177.1;177.1875;-0.7;-0.6767;0.0098;0.746;0.024;62.8;3.4;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
62;Tyr-13C9-15N1;192.07;192.1875;-1.3;-1.181;0.0088;0.84;0.023;119;5.2;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
63;Trp-d5;210.129;210.1875;0.3;0.3198;0.0043;0.84;0.011;657;14;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
64;Orn-d6;C5H7N2O2(D)6;139.25;-1.3;-1.059;0.0029;0.792;0.0071;879;13;2;0.001;20190710_C1000_AS_DV1800_1;NA;NA
65;Ala-AA;90.054955;90.25;-7.6;-7.419;0.0068;0.656;0.016;62.4;2.6;2;0.002;20190710_C500_AS_DV1800_1;0.854;0.053
